hour_of_day,day_of_week,rainfall_mm,visibility_m,distance_to_sangam_km,is_bridge_segment,near_railway_crossing,road_width_category,is_rally,is_protest,is_vip_movement,is_wedding_season,is_mela_bathing_day,is_exam_season,is_market_day,is_railway_crossing_closure,congestion_percent
1,5,11.281253733274694,9465.29372653228,4.449857641770913,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.92556533475838
23,1,28.278291304759666,359.44787894270365,4.219657057061138,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89.79689097814091
11,2,24.53954313231616,4802.1113158277,13.349469112513635,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.92325710746105
5,0,17.630834085939366,539.163740356861,14.506817673821214,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,67.13440609156186
1,2,7.565459454578082,9114.319833138186,1.0565997895539052,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.12521316559457
20,6,0.0,5328.553183925385,7.069422427999751,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.692240220904566
0,5,0.0,1026.9569231754192,8.224979977946937,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.47967951747891
11,0,14.297038307400555,1369.6842642826987,1.3936749199455494,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56.67160284891104
21,3,0.0,4020.037537579569,5.662465637062838,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.553125209719454
11,5,15.447884861774483,9420.271670867027,4.756236260894259,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.31340309965565
16,3,0.0,7021.218770210385,8.04084531490631,1,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62.49724152844215
9,4,0.0,8715.903002034585,9.91786349597907,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,67.92838175885328
15,2,3.237736648949816,3854.629469497803,10.552276657448498,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.86207905866197
14,0,0.0,719.1728856349837,2.051325354200813,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41.79908726586119
14,3,0.0,9750.881080882817,12.194215529169321,1,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.342049278414684
18,1,0.0,466.5780094249846,10.178130446861385,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.92465928713102
11,3,21.747308155082532,9492.221034886563,13.336123751200793,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,69.27337441056923
22,1,0.0,3876.1710113367035,6.740040891531511,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.443000698311224
19,5,18.901037326273144,397.8769287122508,13.408346440832874,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,74.11584622244192
2,0,0.0,6984.82514772773,12.986611835341131,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.07389771580513
4,3,9.03477059356336,9811.240949104136,6.576139985389044,1,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.242682769656966
18,6,17.34689358508541,9666.569511524647,5.717149729394679,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,77.37133769600928
6,3,0.0,1861.0890086634588,13.992180224553852,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.05148156446972
20,6,0.0,2058.103718841703,10.727471018076566,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.7711014023233
8,0,0.0,5785.727471810703,13.923680196571135,0,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.75092360468182
6,3,11.008734954509858,6481.856816354747,11.954621683437196,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.387062995836345
17,1,0.0,7472.353762558897,9.139461589371216,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.364839604006384
3,3,1.5682911681661715,2056.188496579831,1.7377916550564676,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.526170395860266
13,2,0.0,9602.368741615015,4.372210088686478,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.107469073757215
17,5,0.0,6495.770786005607,14.532636106475874,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.981660559612294
8,4,0.0,8516.355113044381,4.791331480713067,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66.18674448445032
20,1,0.0,5538.637438256466,1.3988230467805618,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,69.70223456163636
1,2,0.0,4318.485421621861,10.613300338789797,0,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.46156426897642
19,6,19.76828381804228,9778.674193971461,11.010063818155263,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.40148513778904
14,5,8.176732464462015,5946.57729695241,4.2818658043072615,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.395792011722314
6,0,0.0,8708.673753152036,4.465079690194556,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.192266048899466
11,1,14.549768537324987,9546.936244753013,7.033394782631758,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.215794552217645
7,4,9.167293779834772,6850.939881983994,0.3268342464338331,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.775143694118654
14,5,15.529168070683037,5624.705181631147,11.839845155417454,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.223631919288728
2,6,0.0,334.055253833311,4.756331809111884,1,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.21880750319286
13,4,0.0,688.1905151683582,12.806446530029664,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.15087119858621
16,0,0.0,2248.2567956958283,12.039456324000506,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.035846231282754
3,0,29.909715084376533,2104.281789003154,9.921030496781746,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.61612054102223
17,6,0.0,2771.1603134385,4.8731230064893305,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.30277963099814
7,1,0.0,3257.86598566731,7.7447484249175504,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.409819285361486
3,6,0.0,3792.635287442064,6.672438863969385,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7446252561264
1,3,0.0,4379.215593668103,5.083228293730113,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.696791569693726
5,0,24.99822915086273,1259.0034830233421,12.722044339547672,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.87867344940931
21,5,0.0,710.9107399419858,7.252606118664979,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.623556944070103
9,3,0.0,6837.261156008327,12.490846466957198,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.98667028888653
3,2,3.223596493256596,5512.147800977854,1.5782771121273642,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.72132728639607
21,4,25.383575566653352,4608.198761535161,2.115371829005036,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.72145474726127
17,3,22.071539603343297,6454.067429333018,14.65980457669465,1,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0
11,4,6.351503353858971,8328.490249874343,8.816526939091345,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41.71832567938524
1,6,4.358580292373599,4448.621218427184,7.646545102485735,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41.15937597099983
9,3,0.0,6518.8588110042,7.847340947161675,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.09852567970513
3,6,0.0,9549.65057120104,3.229031610492897,1,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,77.25854280198448
13,2,7.704947237011758,8444.35760985714,10.780559242529595,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.19577548616634
15,0,13.683816268399,4432.207861873372,1.2717093559463155,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.61356051048873
14,2,0.9006067715200894,6553.7533268030065,8.599855696545347,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.50650778648268
7,0,0.0,2017.5879425846156,8.56153194878852,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.45109463088952
13,6,0.0,5737.065193482372,13.712826362002664,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.222663506177376
22,0,0.0,9818.884424042895,7.8927421515729055,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.84335068115359
7,4,0.0,5327.656617464466,2.055940439612693,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.791418613597406
20,5,0.0,9298.091502144429,8.591298888722438,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.614050154083934
15,2,16.413829277067016,4251.148728881629,1.3699146654799854,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,43.267360232682485
12,3,0.0,9988.794823690923,3.056907529498825,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.724259841695776
17,2,0.0,5918.4343417073105,0.466628762811242,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.63659268170764
14,4,0.0,710.0092440885652,7.699403736892474,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.76600848054985
20,0,28.51781897793373,5991.521527906464,1.2679892294035855,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.77302742557447
23,4,0.0,2963.3551480920873,7.040915677969935,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.88592672278797
12,1,0.0,615.0688237481787,13.994175529862162,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.90565758303329
8,1,0.0,8262.277055538234,10.79642119528998,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,58.70772378194289
14,3,0.0,2974.5774787133323,1.1611751133793957,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.928428791504604
12,4,27.674966889075094,8026.520974251035,3.3631471831326474,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.23069903162589
0,6,25.57998459305162,3095.7105546719094,10.104936298401514,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.44674961023541
6,3,0.0,2184.9656325756105,13.420527915362756,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.88237422670232
8,6,0.0,9747.175068812947,0.4937788014593064,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.12200664585247
23,3,15.131421128963003,3807.95967922369,12.18676697580891,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44.3273971152055
0,1,0.0,6133.349250998656,8.427208205074631,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.09124532058897
11,3,0.0,6216.820480300375,8.191369879445888,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.582073965418324
7,1,0.0,5736.592777082968,14.36719774130037,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.00289414669561
23,0,0.9148964355826339,9172.548712155782,11.214669188951596,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.467368001188525
10,6,0.0,6842.078392258624,12.751783020841678,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.971347597493846
18,4,0.0,4216.210139817823,5.3099335431700005,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,56.60741215936531
16,3,22.5503930109427,8665.089729885458,8.315460612426147,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.67386641641588
7,1,0.0,2056.3101214248545,9.231085161416562,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.38026988771274
2,2,0.0,5579.0965488210495,4.823759105436976,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.913160823258465
2,6,11.099966578799323,9520.338607854437,8.553721874210993,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.09183353536092
0,3,0.0,6366.357009840003,3.5498306921957075,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.81555008862808
4,5,23.52561537696239,8224.5939696063,2.1506350660235936,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44.5355171598666
9,0,0.0,6639.5390377883705,5.609553889159989,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.01494510047002
6,0,0.0,8441.897376317536,11.089344431196555,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.82620003164611
8,2,0.0,9461.532434498864,13.742807221108313,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66.4860109428615
6,1,0.0,2947.340757067547,6.865710772473488,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.04459186091629
8,3,0.0,1945.712488190173,9.642355324131476,1,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,71.84906741726168
7,6,9.923789742829669,4994.710278225637,1.545556964626507,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2698944094633
11,1,0.0,7108.065540194893,13.566956378284932,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.73605714858467
1,0,0.0,2503.7551558674963,8.529063203549017,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.47092558879438
0,1,0.0,339.7840691726206,11.705073714377356,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.140166185094664
15,0,11.971213561449122,3626.470623616042,11.916618013820907,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.98176175328107
22,1,0.0,9697.935554037547,3.847207895521589,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.06469003494809
22,2,0.0,7041.184367876713,7.937616797727743,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.741193995461984
23,4,0.0,4192.856806229873,14.40719627341466,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.10406468292174
4,2,0.0,2167.988144264351,1.3445181723124167,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.311176483714185
2,2,0.0,3754.069835421046,10.24574847044345,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.87642326114063
11,4,14.636298179941784,1947.4425030221053,14.43396117052758,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.74132213847456
7,4,0.0,1331.1664667356288,4.508656620810332,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.33758377581485
21,3,0.0,9095.401013953773,12.921718821065221,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.42373638199213
2,6,0.0,9977.208282242094,14.004863181124074,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.733692812287124
0,6,8.66811049972748,1891.910064079166,11.206293140922376,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.96954203205698
2,3,0.0,828.8688211193133,3.469924684604374,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.981711684029534
4,2,0.0,3498.3917393182596,5.010010782398908,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.816069811024239
14,2,0.0,4778.094053385728,0.537139416265961,0,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.22318651753297
13,0,0.0,2286.7660966357885,12.471798513680328,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.40545084529708
2,0,0.0,3223.821644446017,12.744167797666199,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41.3469381318993
0,6,0.0,2248.4461362090797,9.49065464949289,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.948685585779742
4,3,0.0,7810.327513794778,5.28791776895777,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.24305771049578
22,5,0.0,7212.006049498429,1.152165414598808,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.298211215250596
13,5,0.0,6459.029702881523,11.295864148723641,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.926037793300985
6,3,0.0,4056.013213668286,10.897892904148843,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.16650889796697
8,0,0.0,9117.697130748089,13.689037826083515,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,79.15215851982627
14,6,6.679477056803561,9704.465652889694,10.957980315080432,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.185907338259542
14,6,21.522106662156308,1984.3013324664962,12.430424133660027,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.048510714635828
9,0,28.29895191736958,2463.222621695217,11.189319268559993,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,84.55746424475826
12,5,15.833166272066311,5398.6209716035855,9.460307824684746,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.739245259525106
18,1,16.20087576782063,1185.1305220377794,6.404495912865139,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88.56907001247278
6,1,13.831007042934361,4533.549468584194,13.531759629634166,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.13639998556125
16,0,0.0,5943.375268343789,9.764528578612047,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.43665169695829
19,1,14.269650927747513,5364.113640032131,5.975329829488636,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,79.74586413286171
3,4,0.0,3509.8132558568527,1.2520394277293585,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.49483550105028
4,3,0.0,5561.724318948906,4.360572838565732,1,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.853995232834215
22,3,28.132936779546725,9600.369256310823,8.155901022452472,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.20430673335744
6,0,0.0,2298.3688216263477,4.134530550242918,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.400806040254317
12,2,0.0,6651.8641764218355,3.3185302187685317,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.06694658045638
14,5,14.035475498761288,720.947933313703,7.910902711317708,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.044617517327154
10,0,0.0,944.2391234699188,2.5473051884360185,0,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.778458860877834
3,1,0.0,5652.733774968775,12.006150949876552,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.131012940657047
12,5,11.788522949740592,1317.9100491811098,7.265522270139869,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.040197341081937
6,2,28.852874350364065,516.7638477405161,8.607941609439752,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,69.13837466588231
18,1,0.0,1963.6760771858153,2.2107490139602284,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.21603444774402
21,6,0.0,5779.036958695872,4.868645034440511,1,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.982997483182952
1,4,0.0,7122.407258833645,6.151345248917294,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.674960911252036
9,1,28.51776039227815,2264.042072171386,12.123192457747544,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.59309177710871
12,4,0.0,6782.116540919293,11.552392846292289,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.58837893087947
20,5,0.0,2070.0204116625246,3.3446621218152206,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.31228596367198
5,4,0.0,6250.537038323194,9.242686224105116,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.122140974456194
11,5,0.0,4296.008894989249,3.651845366579964,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.47513445670759
11,5,23.298205193891718,6641.855240536082,14.82370733535368,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.22471286896716
19,5,0.0,9952.011699048699,14.281858171963059,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.145033130227084
10,5,19.829214619490273,9396.824562755852,8.448970807809307,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9888108187756
22,5,0.0,341.5330510102052,10.483538578412144,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.773060336634025
6,1,14.43821855482815,8888.756014314366,12.021455733129676,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,63.68910390306431
0,5,18.520627529642013,944.9607131952353,10.814976300673559,0,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.88140903426464
0,1,0.0,9544.551885750496,10.497430366236312,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.04572627758735
19,5,0.0,3033.7090872669414,14.37831011924292,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57.78582052657552
12,4,0.0,4005.7378549893283,8.94684159460925,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.227397063641217
8,6,15.344026201278522,1188.89059020456,9.544540077285834,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.9059825143292
2,5,0.0,1389.045755790423,12.739031256572718,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.363865353569935
6,2,12.331415806681743,7349.3834827244,10.048363017876103,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.04719178915691
5,5,10.65395292077149,9460.022686758428,10.993989330262838,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.965549177227153
7,5,12.21492895401375,6224.260401056802,3.5125302929496365,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.6570112496294
8,4,12.275899313569493,7243.745150610067,5.569003861726063,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,87.38504520968195
4,3,0.0,7691.1065225923885,2.2095201856783953,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.179025072514538
0,4,0.0,2849.2984631635345,7.586481635022082,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.96287882394934
18,2,0.0,738.7274199260848,6.835911010203695,1,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,76.95772444927685
9,3,4.043573547523143,318.16561601593526,14.957442214191852,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.14935995455117
11,0,14.882264355015934,3701.298044653981,9.168129792233138,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.85755417974585
23,0,5.073117012619544,2642.203013532396,11.796672347916349,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.31724453244711
14,2,0.0,904.4819329771008,5.010220061364813,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47.04709223637671
21,4,0.0,2041.4244371885675,12.473179970141947,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.87750061347455
23,1,18.148500394431128,1507.6393131990937,9.22627449731525,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.01797908313712
